nome;m;tempo;estado;valor;tamanho
P1;10;0.00045990943908691406;[2, 1, 1];11;19
P3;10;0.0014150142669677734;[0, 0, 7, 2];41;57
P4;10;0.002030611038208008;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;10;0.004849672317504883;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;10;0.0016255378723144531;[1, 1, 0, 0, 1, 0, 0, 0, 2];117;120
P9;10;0.0014357566833496094;[1, 1, 0, 0, 1, 0, 0, 0, 2];113;120
P11;10;0.00037169456481933594;[0, 2, 1];108;110
P14;10;0.0035037994384765625;[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2];134;138
P17;10;120.00022196769714;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184928];5362912;6842336
P20;10;120.00014591217041;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257445];3861675;5148900
P1;25;0.0008668899536132812;[4, 0, 1];9;19
P3;25;0.003194093704223633;[0, 0, 7, 2];41;57
P4;25;0.00410914421081543;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;25;0.004849672317504883;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;25;0.002926349639892578;[1, 1, 0, 0, 1, 0, 0, 0, 2];117;120
P9;25;0.0027883052825927734;[1, 1, 0, 0, 1, 0, 0, 0, 2];113;120
P11;25;0.0006694793701171875;[0, 4, 0];116;120
P14;25;0.007379770278930664;[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;25;120.00150871276855;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74499];2160471;2756463
P20;25;120.00054049491882;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101109];1516635;2022180
P1;50;0.0009932518005371094;[6, 0, 0];6;18
P3;50;0.00626683235168457;[0, 0, 7, 2];41;57
P4;50;0.007831573486328125;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;50;0.010307073593139648;[0, 0, 0, 1, 5, 0, 0, 0, 4];51;58
P8;50;0.006224632263183594;[1, 1, 1, 0, 0, 0, 0, 2, 1];115;120
P9;50;0.005795717239379883;[1, 1, 1, 0, 0, 0, 0, 2, 1];114;120
P11;50;0.0006172657012939453;[0, 4, 0];116;120
P14;50;0.013660192489624023;[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;120.00185632705688;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37103];1075987;1372811
P20;50;120.00028014183044;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51544];773160;1030880
P1;100;0.00098419189453125;[6, 0, 0];6;18
P3;100;0.010689258575439453;[0, 0, 7, 2];41;57
P4;100;0.015542030334472656;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;100;0.02237844467163086;[0, 0, 0, 0, 5, 0, 0, 0, 8];56;58
P8;100;0.013020992279052734;[1, 1, 1, 0, 0, 0, 0, 2, 1];115;120
P9;100;0.013085365295410156;[2, 2, 0, 0, 0, 0, 0, 2, 1];114;120
P11;100;0.0006215572357177734;[0, 4, 0];116;120
P14;100;0.026690244674682617;[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2];134;138
P17;100;120.00571155548096;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17601];510429;651237
P20;100;120.00253129005432;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24604];369060;492080
